Cu_Ratio;Reaction_Time;Efficiency;Ct_C0;ln_C0_Ct
0;0;0;1;0
0;10;67.386;0.32614;1.120429
0;20;75.694;0.24306;1.414447
0;30;80.85;0.1915;1.652867
0;40;83.682;0.16318;1.812901
0;50;86.348;0.13652;1.991284
0;60;88.849;0.11151;2.193641
0;70;94.02;0.0598;2.81675
0;80;96.698;0.03302;3.410642
0;90;97.936;0.02064;3.880524
0;100;98.508;0.01492;4.205053
0;110;98.773;0.01227;4.400598
0;120;98.895;0.01105;4.505325
3;0;0;1;0
3;10;56.783;0.43217;0.838936
3;20;60.191;0.39809;0.921077
3;30;62.918;0.37082;0.992039
3;40;64.349;0.35651;1.031393
3;50;64.758;0.35242;1.042932
3;60;65.167;0.34833;1.054605
3;70;67.382;0.32618;1.120306
3;80;69.598;0.30402;1.190662
3;90;71.188;0.28812;1.244378
3;100;72.779;0.27221;1.301181
3;110;74.369;0.25631;1.361368
3;120;75.506;0.24494;1.406742
5;0;0;1;0
5;10;67.776;0.32224;1.132459
5;20;78.734;0.21266;1.548061
5;30;84.957;0.15043;1.894257
5;40;90.341;0.09659;2.33728
5;50;94.526;0.05474;2.905161
5;60;96.804;0.03196;3.44327
5;70;97.922;0.02078;3.873764
5;80;98.471;0.01529;4.180556
5;90;98.74;0.0126;4.374058
5;100;98.873;0.01127;4.485611
5;110;98.937;0.01063;4.544075
5;120;98.969;0.01031;4.574641
7.5;0;0;1;0
7.5;10;58.691;0.41309;0.88409
7.5;20;66.735;0.33265;1.100664
7.5;30;71.711;0.28289;1.262697
7.5;40;75.801;0.24199;1.418859
7.5;50;81.027;0.18973;1.662153
7.5;60;87.389;0.12611;2.070601
7.5;70;91.513;0.08487;2.466635
7.5;80;95.637;0.04363;3.13201
7.5;90;98.014;0.01986;3.919048
7.5;100;98.711;0.01289;4.351303
7.5;110;98.915;0.01085;4.52359
7.5;120;98.975;0.01025;4.580478
10;0;0;1;0
10;10;76.448;0.23552;1.445959
10;20;80.72;0.1928;1.646102
10;30;84.463;0.15537;1.861946
10;40;86.629;0.13371;2.012082
10;50;88.677;0.11323;2.178334
10;60;90.607;0.09393;2.365205
10;70;91.896;0.08104;2.512812
10;80;93.185;0.06815;2.686044
10;90;93.697;0.06303;2.764144
10;100;94.209;0.05791;2.848865
10;110;94.739;0.05261;2.944849
10;120;95.268;0.04732;3.050822
